datetime,close,volume,tweet_count,tweet_weighted_count,tweet_weighted_happy,tweet_weighted_sad,label
2013-08-08 13:30:00+00:00,31.8029,477607,1,18.028,18.028,0,-0.10
2013-08-08 13:31:00+00:00,31.7931,224290,1,339.115,339.115,0,-0.10
2013-08-08 13:32:00+00:00,31.7833,224031,8,126.517,15.716,0,-0.10
2013-08-08 13:33:00+00:00,31.7734,186387,3,29.092,5.385,23.706,-0.10
2013-08-08 13:34:00+00:00,31.7833,155921,1,18.304,18.303,0,-0.10
2013-08-08 13:35:00+00:00,31.8029,192064,2,180.125,51,0,-0.10
2013-08-08 13:36:00+00:00,31.8325,147709,2,29.581,12.61,0,-0.10
2013-08-08 13:37:00+00:00,31.8029,105842,7,110.065,51.594,0,-0.10
2013-08-08 13:38:00+00:00,31.7537,139480,4,27.903,8.485,1,-0.01
2013-08-08 13:39:00+00:00,31.6847,134448,6,147.551,147.55,0,0.03
2013-08-08 13:40:00+00:00,31.6551,92471.3,1,36.879,0,0,0.05
2013-08-08 13:41:00+00:00,31.665,149345,2,21.061,0,13.379,0.05
2013-08-08 13:42:00+00:00,31.7439,160720,4,82.129,10.1,30.265,-0.03
2013-08-08 13:43:00+00:00,31.7241,125246,0,0,0,0,-0.01
2013-08-08 13:44:00+00:00,31.7241,79535.1,0,0,0,0,0.00
2013-08-08 13:45:00+00:00,31.6945,64719.7,3,131.287,10.1,87.04,0.03
2013-08-08 13:46:00+00:00,31.7044,67243.2,2,30.733,0,29.732,0.04
2013-08-08 13:47:00+00:00,31.7044,243378,3,45.306,0,0,0.00
2013-08-08 13:48:00+00:00,31.7439,166001,2,163.792,0,11.446,-0.01
2013-08-08 13:49:00+00:00,31.7143,154664,3,39.189,28.464,0,0.00
2013-08-08 13:50:00+00:00,31.7044,135824,0,0,0,0,-0.04
2013-08-08 13:51:00+00:00,31.7143,269481,2,262.208,0,92.233,-0.06
2013-08-08 13:52:00+00:00,31.7143,178449,4,70.249,32.3,0,-0.06
2013-08-08 13:53:00+00:00,31.7143,88288.8,2,860.912,6.633,0,0.00
2013-08-08 13:54:00+00:00,31.7241,70534.9,3,52.486,0,0,0.01
2013-08-08 13:55:00+00:00,31.7241,80125.7,1,32.343,32.342,0,0.00
2013-08-08 13:56:00+00:00,31.7439,77533.2,0,0,0,0,-0.03
2013-08-08 13:57:00+00:00,31.7044,86000.7,2,29.969,10.296,19.672,-0.03
2013-08-08 13:58:00+00:00,31.7339,80229.2,2,21.831,12.083,0,-0.06
2013-08-08 13:59:00+00:00,31.7143,174212,0,0,0,0,-0.05
2013-08-08 14:00:00+00:00,31.665,187264,1,8.661,8.66,0,-0.03
2013-08-08 14:01:00+00:00,31.6551,221338,0,0,0,0,-0.04
2013-08-08 14:02:00+00:00,31.6551,217178,5,169.153,44.362,37.987,-0.03
2013-08-08 14:03:00+00:00,31.7143,174104,1,24.291,0,24.29,-0.07
2013-08-08 14:04:00+00:00,31.7339,255710,1,8.368,8.367,0,-0.10
2013-08-08 14:05:00+00:00,31.7241,211003,0,0,0,0,-0.10
2013-08-08 14:06:00+00:00,31.7143,208103,1,4.244,4.243,0,-0.06
2013-08-08 14:07:00+00:00,31.6749,119301,1,5.479,5.478,0,0.01
2013-08-08 14:08:00+00:00,31.6749,41634.6,3,32.354,21.726,10.627,0.02
2013-08-08 14:09:00+00:00,31.665,174444,1,4.125,0,0,0.06
2013-08-08 14:10:00+00:00,31.6354,227205,1,25.751,0,0,0.06
2013-08-08 14:11:00+00:00,31.6157,178139,0,0,0,0,0.10
2013-08-08 14:12:00+00:00,31.6256,183278,1,4.002,4,0,0.07
2013-08-08 14:13:00+00:00,31.6453,124070,3,289.952,289.95,0,0.09
2013-08-08 14:14:00+00:00,31.665,209541,0,0,0,0,0.10
2013-08-08 14:15:00+00:00,31.6847,272112,2,198.191,0,0,0.10
2013-08-08 14:16:00+00:00,31.6551,186728,0,0,0,0,0.10
2013-08-08 14:17:00+00:00,31.6847,101537,4,66.381,22.847,40.369,0.10
2013-08-08 14:18:00+00:00,31.6945,137807,3,61.001,11.445,0,0.10
2013-08-08 14:19:00+00:00,31.7241,123738,1,34.426,0,0,0.10
2013-08-08 14:20:00+00:00,31.6945,58065.4,1,30.514,0,0,0.10
2013-08-08 14:21:00+00:00,31.6847,28962.2,0,0,0,0,0.10
2013-08-08 14:22:00+00:00,31.6945,536194,0,0,0,0,0.10
2013-08-08 14:23:00+00:00,31.7339,610438,0,0,0,0,0.10
2013-08-08 14:24:00+00:00,31.7734,467655,4,205.601,48.207,0,0.10
2013-08-08 14:25:00+00:00,31.8424,443074,0,0,0,0,0.10
2013-08-08 14:26:00+00:00,31.8818,568459,0,0,0,0,0.10
2013-08-08 14:27:00+00:00,31.941,426117,2,27.091,0,0,0.03
2013-08-08 14:28:00+00:00,31.9606,271771,1,6.636,6.632,0,0.03
2013-08-08 14:29:00+00:00,31.9508,483838,4,91.833,25.208,66.621,0.07
2013-08-08 14:30:00+00:00,32,683112,2,5.199,3.463,0,-0.10
2013-08-08 14:31:00+00:00,32.0099,505404,2,75.077,75.073,0,-0.10
2013-08-08 14:32:00+00:00,31.9606,228551,7,330.258,0,243.614,0.10
2013-08-08 14:33:00+00:00,31.931,146606,4,273.471,164.1,0,0.10
2013-08-08 14:34:00+00:00,31.8916,178111,2,58.085,26.19,0,0.10
2013-08-08 14:35:00+00:00,31.931,280732,3,45.881,9.796,11.79,0.10
2013-08-08 14:36:00+00:00,31.9508,249625,3,216.829,143.424,24.146,0.10
2013-08-08 14:37:00+00:00,31.9705,158350,3,61.741,55.736,0,0.10
2013-08-08 14:38:00+00:00,31.9902,310955,3,53.855,45.726,8.125,0.10
2013-08-08 14:39:00+00:00,32.0198,460801,3,145.753,145.748,0,0.10
2013-08-08 14:40:00+00:00,32.1381,620476,3,55.186,33.363,0,0.10
2013-08-08 14:41:00+00:00,32.2169,611528,2,60.868,55.667,5.197,0.10
2013-08-08 14:42:00+00:00,32.2464,568408,7,147.69,97.519,30.469,0.10
2013-08-08 14:43:00+00:00,32.3056,629003,9,468.972,331.005,45.388,-0.10
2013-08-08 14:44:00+00:00,32.3647,637439,2,101.315,101.309,0,-0.10
2013-08-08 14:45:00+00:00,32.2957,479174,3,57.791,20.88,0,-0.10
2013-08-08 14:46:00+00:00,32.3154,439110,4,333.158,0,57.524,-0.10
2013-08-08 14:47:00+00:00,32.2563,360083,5,131.231,0,107.415,-0.10
2013-08-08 14:48:00+00:00,32.207,252103,1,129.129,0,0,-0.10
2013-08-08 14:49:00+00:00,32.1676,293666,4,64.445,11.957,0,0.10
2013-08-08 14:50:00+00:00,32.0789,405027,4,80.001,48.465,21.75,0.10
2013-08-08 14:51:00+00:00,32.1577,247140,4,1337.51,4.999,0,0.10
2013-08-08 14:52:00+00:00,32.1479,195746,2,134.559,134.553,0,0.10
2013-08-08 14:53:00+00:00,32.2267,396848,3,81.862,81.856,0,0.10
2013-08-08 14:54:00+00:00,32.2662,309220,3,385.158,132.207,0,0.10
2013-08-08 14:55:00+00:00,32.276,238353,1,27.354,27.348,0,0.10
2013-08-08 14:56:00+00:00,32.3352,348851,1,17.64,0,0,0.10
2013-08-08 14:57:00+00:00,32.3746,361872,7,215.069,169.295,20.568,0.07
2013-08-08 14:58:00+00:00,32.3647,246929,1,15.302,0,0,0.09
2013-08-08 14:59:00+00:00,32.3942,312557,2,71.337,0,63.333,0.05
2013-08-08 15:00:00+00:00,32.3942,299874,3,70.121,61.17,4.473,0.10
2013-08-08 15:01:00+00:00,32.4238,294921,10,863.068,805.163,3.743,0.09
2013-08-08 15:02:00+00:00,32.414,299154,1,12.374,0,0,0.08
