Datetime	Close	Volume	AAPL-count	AAPL-followers	AAPL-followers happy	AAPL-followers sad	AAPL-happy	AAPL-sad
2013-08-08 14:26:00+00:00	456,683	31674,9	3	48,068	39,013	9,054	2	1
2013-08-08 14:27:00+00:00	456,723	26465,6	2	24,571	0	-0,001	0	0
2013-08-08 14:28:00+00:00	456,812	37620,4	2	40,263	29,309	-0,001	1	0
2013-08-08 14:29:00+00:00	457,001	38642,3	3	35,395	18,466	10,295	1	1
2013-08-08 14:30:00+00:00	456,991	31729,2	1	49,02	49,02	-0,001	1	0
2013-08-08 14:31:00+00:00	456,962	20791,7	6	140,168	58,276	-0,001	2	0
2013-08-08 14:32:00+00:00	456,902	28977,2	2	41,387	10,63	30,756	1	1
2013-08-08 14:33:00+00:00	456,812	33396,9	0	0	0	-0,001	0	0
2013-08-08 14:34:00+00:00	456,633	27246,2	2	47,704	34,176	-0,001	1	0
2013-08-08 14:35:00+00:00	456,136	42925,2	6	76,971	42,945	-0,001	3	0
2013-08-08 14:36:00+00:00	455,918	49521,5	1	12,884	12,884	-0,001	1	0
2013-08-08 14:37:00+00:00	455,779	30342,2	1	44,441	44,441	-0,001	1	0
2013-08-08 14:38:00+00:00	455,54	38161,6	1	22,957	22,957	-0,001	1	0
2013-08-08 14:39:00+00:00	455,391	50986	2	97,395	0,001	7,873	0	1
2013-08-08 14:40:00+00:00	455,46	30462,9	5	178,044	27,06	-0,001	3	0
2013-08-08 14:41:00+00:00	455,48	32475,5	2	396,129	11,446	384,682	1	1
2013-08-08 14:42:00+00:00	455,46	38187,7	3	98,093	67,765	19,697	1	1
2013-08-08 14:43:00+00:00	455,391	38096,2	2	77,699	0,001	77,697	0	2
2013-08-08 14:44:00+00:00	455,371	36236,4	2	14,704	4,36	-0,001	1	0
2013-08-08 14:45:00+00:00	455,371	50812	3	17,08	4,124	-0,001	1	0
2013-08-08 14:46:00+00:00	455,391	36220,3	2	18,82	2,237	-0,001	1	0
2013-08-08 14:47:00+00:00	455,391	35722,4	1	20,323	0,001	20,321	0	1
2013-08-08 14:48:00+00:00	455,649	22671,6	5	365,838	293,224	34,262	2	1
2013-08-08 14:49:00+00:00	455,828	31912,3	4	52,946	36,96	7,209	2	1
2013-08-08 14:50:00+00:00	455,888	24327,2	2	37,979	6,245	31,731	1	1
2013-08-08 14:51:00+00:00	456,047	24323,2	0	0,001	0	-0,002	0	0
